,10, $38.61 , $28.60 , $22.88 , $18.59 , $15.73 , $14.30 , $12.87 , $10.73 , $8.58 , $7.15 , $6.15 , $5.72 , $5.58 , $5.43 , $4.86 , $4.29 , $3.58 , $2.86 , $2.57 , $2.29 , $2.00 ,,
,15, $42.90 , $34.32 , $28.60 , $22.88 , $17.16 , $16.45 , $15.73 , $13.73 , $10.01 , $9.30 , $7.87 , $6.86 , $6.44 , $6.01 , $5.43 , $4.86 , $4.00 , $3.43 , $2.86 , $2.57 , $2.29 , $5.03 ,
,20, $48.62 , $38.61 , $31.46 , $25.03 , $19.31 , $17.88 , $17.16 , $15.73 , $14.30 , $12.58 , $10.73 , $9.30 , $8.58 , $7.87 , $6.44 , $5.72 , $4.86 , $4.29 , $4.00 , $3.58 , $2.86 , $6.29 ,
,25, $51.48 , $41.47 , $34.32 , $28.60 , $20.74 , $19.31 , $18.59 , $17.90 , $17.16 , $15.73 , $13.59 , $12.16 , $11.44 , $10.73 , $10.01 , $9.30 , $7.87 , $7.15 , $5.72 , $5.01 , $4.29 , $9.44 ,
,30, $57.20 , $46.48 , $40.04 , $34.32 , $25.74 , $21.45 , $20.74 , $20.02 , $19.31 , $17.88 , $15.73 , $14.30 , $14.30 , $12.16 , $12.87 , $12.16 , $9.30 , $7.87 , $6.44 , $5.72 , $5.01 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Tier 5: Middle East, Hungary, Ukraine, Romania, Cz Republic, Greece",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $46.80 , $35.10 , $27.30 , $19.50 , $16.58 , $14.63 , $13.65 , $11.70 , $9.75 , $8.78 , $7.80 , $7.02 , $6.83 , $6.24 , $5.85 , $5.07 , $3.90 , $3.51 , $2.73 , $2.34 , $1.95 ,,
,10, $52.65 , $39.00 , $31.20 , $25.35 , $21.45 , $19.50 , $17.55 , $14.63 , $11.70 , $9.75 , $8.39 , $7.80 , $7.61 , $7.41 , $6.63 , $5.85 , $4.88 , $3.90 , $3.51 , $3.12 , $2.73 ,,
,15, $58.50 , $46.80 , $39.00 , $31.20 , $23.40 , $22.43 , $21.45 , $18.72 , $13.65 , $12.68 , $10.73 , $9.36 , $8.78 , $8.19 , $7.41 , $6.63 , $5.46 , $4.68 , $3.90 , $3.51 , $3.12 ,,
,20, $66.30 , $52.65 , $42.90 , $34.13 , $26.33 , $24.38 , $23.40 , $21.45 , $19.50 , $17.16 , $14.63 , $12.68 , $11.70 , $10.73 , $8.78 , $7.80 , $6.63 , $5.85 , $5.46 , $4.88 , $3.90 ,,
,25, $70.20 , $56.55 , $46.80 , $39.00 , $28.28 , $26.33 , $25.35 , $24.41 , $23.40 , $21.45 , $18.53 , $16.58 , $15.60 , $14.63 , $13.65 , $12.68 , $10.73 , $9.75 , $7.80 , $6.83 , $5.85 ,,
,30, $78.00 , $63.38 , $54.60 , $46.80 , $35.10 , $29.25 , $28.28 , $27.30 , $26.33 , $24.38 , $21.45 , $19.50 , $19.50 , $16.58 , $17.55 , $16.58 , $12.68 , $10.73 , $8.78 , $7.80 , $6.83 ,,
